"site1"	"site2"	"dyad_ID"	"behavior"	"behavioral_class"	"shared"	"nepra_binary"	"nepra_proportion"	"ibd_binary"	"same_subspecies"	"distance"	"same_habitat"	"mean_refugia_distance"	"mean_annual_precipitation"	"min_observation_time"
"36"	"Bakoun-Sobory"	"Bateke"	"Bakoun-Sobory_Bateke"	"Underground toolset"	"complex"	0	0	3.8e-05	0	0	3179086.32550326	1	347.1985572	84.5	14
"37"	"Bakoun-Sobory"	"Bateke"	"Bakoun-Sobory_Bateke"	"Marrow pick"	"simple"	0	0	3.8e-05	0	0	3179086.32550326	1	347.1985572	84.5	14
"38"	"Bakoun-Sobory"	"Bateke"	"Bakoun-Sobory_Bateke"	"Honey toolset"	"complex"	0	0	3.8e-05	0	0	3179086.32550326	1	347.1985572	84.5	14
"39"	"Bakoun-Sobory"	"Bateke"	"Bakoun-Sobory_Bateke"	"Nut cracking"	"complex"	NA	0	3.8e-05	0	0	3179086.32550326	1	347.1985572	84.5	14
"40"	"Bakoun-Sobory"	"Bateke"	"Bakoun-Sobory_Bateke"	"Termite fishing"	"simple"	1	0	3.8e-05	0	0	3179086.32550326	1	347.1985572	84.5	14
"41"	"Bakoun-Sobory"	"Bateke"	"Bakoun-Sobory_Bateke"	"Algae fishing"	"simple"	0	0	3.8e-05	0	0	3179086.32550326	1	347.1985572	84.5	14
"42"	"Bakoun-Sobory"	"Bateke"	"Bakoun-Sobory_Bateke"	"Honey underground "	"simple"	0	0	3.8e-05	0	0	3179086.32550326	1	347.1985572	84.5	14
"43"	"Bakoun-Sobory"	"Bateke"	"Bakoun-Sobory_Bateke"	"Water dipping"	"simple"	0	0	3.8e-05	0	0	3179086.32550326	1	347.1985572	84.5	14
"44"	"Bakoun-Sobory"	"Bateke"	"Bakoun-Sobory_Bateke"	"Ant dipping"	"simple"	0	0	3.8e-05	0	0	3179086.32550326	1	347.1985572	84.5	14
"45"	"Bakoun-Sobory"	"Bateke"	"Bakoun-Sobory_Bateke"	"Ant eating"	"non-tool"	0	0	3.8e-05	0	0	3179086.32550326	1	347.1985572	84.5	14
"46"	"Bakoun-Sobory"	"Bili-Uele"	"Bakoun-Sobory_Bili-Uele"	"Ant fishing"	"simple"	0	0	0.000174391	0	0	4052532.302352	0	336.2128746	77.52631579	1
"47"	"Bakoun-Sobory"	"Bili-Uele"	"Bakoun-Sobory_Bili-Uele"	"Honey toolset"	"complex"	0	0	0.000174391	0	0	4052532.302352	0	336.2128746	77.52631579	1
"48"	"Bakoun-Sobory"	"Bili-Uele"	"Bakoun-Sobory_Bili-Uele"	"Ant eating"	"non-tool"	0	0	0.000174391	0	0	4052532.302352	0	336.2128746	77.52631579	1
"49"	"Bakoun-Sobory"	"Bili-Uele"	"Bakoun-Sobory_Bili-Uele"	"Leaf sponge"	"simple"	0	0	0.000174391	0	0	4052532.302352	0	336.2128746	77.52631579	1
"50"	"Bakoun-Sobory"	"Bili-Uele"	"Bakoun-Sobory_Bili-Uele"	"Honey above-ground"	"simple"	0	0	0.000174391	0	0	4052532.302352	0	336.2128746	77.52631579	1
"51"	"Bakoun-Sobory"	"Bili-Uele"	"Bakoun-Sobory_Bili-Uele"	"Honey underground "	"simple"	0	0	0.000174391	0	0	4052532.302352	0	336.2128746	77.52631579	1
"52"	"Bakoun-Sobory"	"Bili-Uele"	"Bakoun-Sobory_Bili-Uele"	"Termite fishing"	"simple"	0	0	0.000174391	0	0	4052532.302352	0	336.2128746	77.52631579	1
"53"	"Bakoun-Sobory"	"Bili-Uele"	"Bakoun-Sobory_Bili-Uele"	"Nut cracking"	"complex"	NA	0	0.000174391	0	0	4052532.302352	0	336.2128746	77.52631579	1
"54"	"Bafing"	"Bili-Uele"	"Bafing_Bili-Uele"	"Leaf sponge"	"simple"	0	0	4.65e-05	0	0	3994760.53404448	0	371.4295925	80.02631579	1
"55"	"Bafing"	"Bili-Uele"	"Bafing_Bili-Uele"	"Water dipping"	"simple"	0	0	4.65e-05	0	0	3994760.53404448	0	371.4295925	80.02631579	1
"56"	"Bafing"	"Bili-Uele"	"Bafing_Bili-Uele"	"Underground toolset"	"complex"	0	0	4.65e-05	0	0	3994760.53404448	0	371.4295925	80.02631579	1
"57"	"Bafing"	"Bili-Uele"	"Bafing_Bili-Uele"	"Honey underground "	"simple"	0	0	4.65e-05	0	0	3994760.53404448	0	371.4295925	80.02631579	1
"58"	"Bafing"	"Bili-Uele"	"Bafing_Bili-Uele"	"Marrow pick"	"simple"	0	0	4.65e-05	0	0	3994760.53404448	0	371.4295925	80.02631579	1
"59"	"Bafing"	"Bili-Uele"	"Bafing_Bili-Uele"	"Ant eating"	"non-tool"	0	0	4.65e-05	0	0	3994760.53404448	0	371.4295925	80.02631579	1
"60"	"Bafing"	"Bili-Uele"	"Bafing_Bili-Uele"	"Honey eating"	"non-tool"	0	0	4.65e-05	0	0	3994760.53404448	0	371.4295925	80.02631579	1
"61"	"Bafing"	"Bili-Uele"	"Bafing_Bili-Uele"	"Ant dipping"	"simple"	0	0	4.65e-05	0	0	3994760.53404448	0	371.4295925	80.02631579	1
"62"	"Bafing"	"Bili-Uele"	"Bafing_Bili-Uele"	"Algae fishing"	"simple"	0	0	4.65e-05	0	0	3994760.53404448	0	371.4295925	80.02631579	1
"63"	"Bafing"	"Bili-Uele"	"Bafing_Bili-Uele"	"Termite fishing"	"simple"	0	0	4.65e-05	0	0	3994760.53404448	0	371.4295925	80.02631579	1
"64"	"Bafing"	"Bili-Uele"	"Bafing_Bili-Uele"	"Honey toolset"	"complex"	0	0	4.65e-05	0	0	3994760.53404448	0	371.4295925	80.02631579	1
"65"	"Bafing"	"Bili-Uele"	"Bafing_Bili-Uele"	"Termite eating"	"non-tool"	0	0	4.65e-05	0	0	3994760.53404448	0	371.4295925	80.02631579	1
"66"	"Bafing"	"Bili-Uele"	"Bafing_Bili-Uele"	"Nut cracking"	"complex"	0	0	4.65e-05	0	0	3994760.53404448	0	371.4295925	80.02631579	1
"67"	"Bakoun-Sobory"	"Bili-Uele"	"Bakoun-Sobory_Bili-Uele"	"Termite eating"	"non-tool"	0	0	0.000174391	0	0	4052532.302352	0	336.2128746	77.52631579	1
"68"	"Bakoun-Sobory"	"Bili-Uele"	"Bakoun-Sobory_Bili-Uele"	"Marrow pick"	"simple"	0	0	0.000174391	0	0	4052532.302352	0	336.2128746	77.52631579	1
"69"	"Bakoun-Sobory"	"Bili-Uele"	"Bakoun-Sobory_Bili-Uele"	"Algae fishing"	"simple"	0	0	0.000174391	0	0	4052532.302352	0	336.2128746	77.52631579	1
"70"	"Bakoun-Sobory"	"Bili-Uele"	"Bakoun-Sobory_Bili-Uele"	"Underground toolset"	"complex"	0	0	0.000174391	0	0	4052532.302352	0	336.2128746	77.52631579	1
"71"	"Bakoun-Sobory"	"Bili-Uele"	"Bakoun-Sobory_Bili-Uele"	"Honey eating"	"non-tool"	0	0	0.000174391	0	0	4052532.302352	0	336.2128746	77.52631579	1
"72"	"Bakoun-Sobory"	"Bili-Uele"	"Bakoun-Sobory_Bili-Uele"	"Water dipping"	"simple"	0	0	0.000174391	0	0	4052532.302352	0	336.2128746	77.52631579	1
"73"	"Bakoun-Sobory"	"Bili-Uele"	"Bakoun-Sobory_Bili-Uele"	"Ant dipping"	"simple"	1	0	0.000174391	0	0	4052532.302352	0	336.2128746	77.52631579	1
"74"	"Bateke"	"Bili-Uele"	"Bateke_Bili-Uele"	"Ant fishing"	"simple"	0	0	8.47e-05	0	0	1387212.69724998	0	217.6441752	50.02631579	1
"75"	"Bateke"	"Bili-Uele"	"Bateke_Bili-Uele"	"Algae fishing"	"simple"	0	0	8.47e-05	0	0	1387212.69724998	0	217.6441752	50.02631579	1
"76"	"Bateke"	"Bili-Uele"	"Bateke_Bili-Uele"	"Water dipping"	"simple"	0	0	8.47e-05	0	0	1387212.69724998	0	217.6441752	50.02631579	1
"77"	"Bateke"	"Bili-Uele"	"Bateke_Bili-Uele"	"Ant dipping"	"simple"	0	0	8.47e-05	0	0	1387212.69724998	0	217.6441752	50.02631579	1
"78"	"Bateke"	"Bili-Uele"	"Bateke_Bili-Uele"	"Honey toolset"	"complex"	0	0	8.47e-05	0	0	1387212.69724998	0	217.6441752	50.02631579	1
"79"	"Bateke"	"Bili-Uele"	"Bateke_Bili-Uele"	"Honey underground "	"simple"	0	0	8.47e-05	0	0	1387212.69724998	0	217.6441752	50.02631579	1
"80"	"Bafing"	"Bili-Uele"	"Bafing_Bili-Uele"	"Honey above-ground"	"simple"	0	0	4.65e-05	0	0	3994760.53404448	0	371.4295925	80.02631579	1
"81"	"Bafing"	"Bili-Uele"	"Bafing_Bili-Uele"	"Ant fishing"	"simple"	0	0	4.65e-05	0	0	3994760.53404448	0	371.4295925	80.02631579	1
"82"	"Bateke"	"Bili-Uele"	"Bateke_Bili-Uele"	"Marrow pick"	"simple"	0	0	8.47e-05	0	0	1387212.69724998	0	217.6441752	50.02631579	1
