"Bafing"	"Bateke"	"Bili-Uele"	"Boe"	"Budongo"	"Bwindi"	"Comoe"	"Conkouati"	"Dindefelo"	"Djouroutou"	"East Nimba"	"Gashaka"	"Gishwati"	"Goualougo"	"Grebo"	"Issa-Ugalla"	"Kabogo"	"Kayan"	"Korup"	"La Belgique"	"Loango"	"Lope"	"Mbe"	"Mt. Cameroon"	"Mt. Cristal"	"Mt. Sangbe"	"Ngogo"	"Nyungwe"	"Outamba-Kilimi"	"Rubi-Tele"	"Sangaredi"	"Sapo"	"Sobeya"	"Bakoun-Sobory"	"Tai"
"East Nimba"	1.54429832707889e-06	3.67494338174592e-07	2.69226922154085e-07	1.28735491179777e-06	2.22581284563366e-07	2.29368539083485e-07	1.78850793159029e-06	3.94998275716002e-07	1.45440533935633e-06	3.70527965520387e-06	NA	4.49360700148907e-07	2.30582672200143e-07	3.50567859652494e-07	4.0872485008043e-06	2.18516279739919e-07	2.25562556517814e-07	1.32811364906918e-06	5.13549877425145e-07	4.09460209629296e-07	4.41591256216161e-07	4.1771643645697e-07	5.11223234363112e-07	5.02143981309446e-07	4.46811051462615e-07	6.46391467533343e-06	2.2733109887232e-07	2.30475940720608e-07	2.1429901254971e-06	2.65100752574909e-07	1.38982642236134e-06	4.25749916786859e-06	1.96281457676897e-06	1.81178331139211e-06	4.5276269546383e-06
"Gashaka"	4.01467752614241e-07	9.29730724089303e-07	6.64025695260485e-07	3.49834571679558e-07	4.35176930080292e-07	4.50063288979848e-07	5.90625825742893e-07	8.01789415014916e-07	3.72201740926076e-07	4.7874692435322e-07	4.49360700148907e-07	NA	4.50508103920652e-07	1.2548745972349e-06	4.71187716005819e-07	3.93559598980054e-07	4.14114235272001e-07	3.7216629618709e-07	2.58870171475868e-06	2.1418525210072e-06	9.38392526245544e-07	1.20088947279722e-06	3.32196371210352e-06	2.35078941318603e-06	1.2716983073834e-06	4.79732065726678e-07	4.49038219989577e-07	4.46661805062604e-07	3.80779730200586e-07	6.28108617109676e-07	3.51903944107981e-07	4.41799926885381e-07	3.90388668002621e-07	3.92685478689147e-07	4.76757676614564e-07
"Gishwati"	2.13150910440031e-07	5.85262130135008e-07	1.19684070738811e-06	1.98528075840088e-07	2.16955406129718e-06	1.04236814394466e-05	2.59441372362544e-07	4.91717046511906e-07	2.05098362706395e-07	2.41280364678478e-07	2.30582672200143e-07	4.50508103920652e-07	NA	6.72251167363144e-07	2.39223480849094e-07	2.33957029114334e-06	2.50809537379478e-06	2.04700919650794e-07	4.15698691305819e-07	5.26161913145258e-07	4.51870553197523e-07	5.0360298703067e-07	4.12368686846279e-07	4.25333613322511e-07	4.68329960127474e-07	2.37317263737189e-07	3.54762283250183e-06	1.37627895053316e-05	2.09362012164113e-07	1.49467524000925e-06	1.99627341149332e-07	2.31761689035266e-07	2.11141033349744e-07	2.11395720789652e-07	2.3994559074406e-07
"Goualougo"	3.11535228261708e-07	1.80823080482792e-06	1.06550918273128e-06	2.81681647230917e-07	6.02009093979474e-07	6.63385834088486e-07	4.22416837873091e-07	1.10389386162962e-06	2.94953193588655e-07	3.74720397176401e-07	3.50567859652494e-07	1.2548745972349e-06	6.72251167363144e-07	NA	3.69807282216378e-07	5.65424909129432e-07	6.11255955680716e-07	2.93922645635638e-07	1.08777977309874e-06	2.42033301903195e-06	1.08422513341564e-06	1.62243819722187e-06	1.05379910305129e-06	1.15792253833067e-06	1.36886088602022e-06	3.66665157032882e-07	6.44378577798884e-07	6.69014226884577e-07	3.0402725982351e-07	1.0610422672198e-06	2.839438367507e-07	3.51990654282059e-07	3.07777883865053e-07	3.08220701156898e-07	3.71871495082106e-07
"Grebo"	1.12462808744552e-06	3.94246102868107e-07	2.78654338873878e-07	9.91938591446585e-07	2.29510498500913e-07	2.37665856020754e-07	1.7823245463141e-06	4.2957095137683e-07	1.07497487214525e-06	2.80137875020934e-05	4.0872485008043e-06	4.71187716005819e-07	2.39223480849094e-07	3.69807282216378e-07	NA	2.27088182770725e-07	2.34790191547053e-07	1.00267419544827e-06	5.50406997738949e-07	4.34982574913411e-07	4.83829772992359e-07	4.51180112341592e-07	5.43506408593852e-07	5.39905183039546e-07	4.85139722280029e-07	3.57209803618202e-06	2.34989172695276e-07	2.39305053224469e-07	1.4465482888137e-06	2.75091708897895e-07	1.05921898973126e-06	7.08212370807944e-06	1.32965584724733e-06	1.25559113035298e-06	2.13713557357966e-05
"Issa-Ugalla"	2.01082671451103e-07	5.32973811371892e-07	8.0196650013025e-07	1.88644059535407e-07	1.23976297415532e-06	2.00242909988423e-06	2.42680230650426e-07	4.64004354142619e-07	1.94271362130267e-07	2.28943018265725e-07	2.18516279739919e-07	3.93559598980054e-07	2.33957029114334e-06	5.65424909129432e-07	2.27088182770725e-07	NA	6.75643722749266e-06	1.93662637532664e-07	3.72813758188298e-07	4.59380006906154e-07	4.2159711368916e-07	4.57179935846381e-07	3.67981770577562e-07	3.81891204832457e-07	4.26927706888377e-07	2.24123789808718e-07	1.51215712831737e-06	2.72453549321495e-06	1.98915452047525e-07	9.37652413641739e-07	1.89857393336951e-07	2.20569116590148e-07	1.99999526121123e-07	2.00004832596767e-07	2.27522600763015e-07
"Kabogo"	2.06796028673762e-07	5.78101837464664e-07	8.54248680430745e-07	1.93771419888775e-07	1.2021555839273e-06	2.0524565566003e-06	2.51171879766869e-07	4.9821700464907e-07	1.99665509795651e-07	2.36772920247016e-07	2.25562556517814e-07	4.14114235272001e-07	2.50809537379478e-06	6.11255955680716e-07	2.34790191547053e-07	6.75643722749266e-06	NA	1.98980981383871e-07	3.9273323897069e-07	4.89750198327281e-07	4.49516003264858e-07	4.89545048070193e-07	3.86939788477507e-07	4.03053352761166e-07	4.54970628320107e-07	2.31487488099532e-07	1.49873013884244e-06	3.05259534692201e-06	2.04691218013523e-07	1.01812040184196e-06	1.95082770529425e-07	2.27850314251905e-07	2.05767010056078e-07	2.0573852451522e-07	2.35233535159621e-07
"Kayan"	5.07649904336218e-06	2.97956342179368e-07	2.3859167898292e-07	4.03986454465073e-06	2.00619366311528e-07	2.04229568258086e-07	9.53411903003999e-07	3.11529573404427e-07	1.06980261759251e-05	9.77857195340834e-07	1.32811364906918e-06	3.7216629618709e-07	2.04700919650794e-07	2.93922645635638e-07	1.00267419544827e-06	1.93662637532664e-07	1.98980981383871e-07	NA	4.02677117312604e-07	3.34449824395029e-07	3.40866811649047e-07	3.3124175145931e-07	4.0643513199009e-07	3.92911087163879e-07	3.49088289674558e-07	1.26987982274767e-06	2.03579716832462e-07	2.04249836061218e-07	2.57789458236462e-06	2.33792993621195e-07	3.27839790697688e-06	1.05217276195824e-06	3.97340493431276e-06	4.97228063186523e-06	1.02816218963336e-06
"Korup"	4.36375604289882e-07	1.01874699036861e-06	5.64366032017405e-07	3.80013117368788e-07	3.92833026977914e-07	4.12900351892137e-07	6.90146761572245e-07	9.65260574997655e-07	4.04683346301047e-07	5.61144970028105e-07	5.13549877425145e-07	2.58870171475868e-06	4.15698691305819e-07	1.08777977309874e-06	5.50406997738949e-07	3.72813758188298e-07	3.9273323897069e-07	4.02677117312604e-07	NA	1.97388902839426e-06	1.25113360743367e-06	1.50843675351071e-06	7.92613079444864e-06	1.10173443176065e-05	1.80638029104245e-06	5.5051380394701e-07	4.07638589850315e-07	4.14257809459493e-07	4.21071978905587e-07	5.479613689887e-07	3.83933992888497e-07	5.11066867325556e-07	4.29069297475773e-07	4.30065225296212e-07	5.56428859212385e-07
"La Belgique"	3.5738775493207e-07	1.62900224246331e-06	7.6632256918592e-07	3.18781824680916e-07	4.85720837352861e-07	5.21062352178128e-07	5.11727884562623e-07	1.19396119035073e-06	3.35856471194291e-07	4.41764834238165e-07	4.09460209629296e-07	2.1418525210072e-06	5.26161913145258e-07	2.42033301903195e-06	4.34982574913411e-07	4.59380006906154e-07	4.89750198327281e-07	3.34449824395029e-07	1.97388902839426e-06	NA	1.37846728431357e-06	2.32484667675689e-06	1.83182717373737e-06	2.21607215612137e-06	2.18163718447081e-06	4.31867688254117e-07	5.10823183693846e-07	5.24151125328093e-07	3.47620839763389e-07	7.48002405159846e-07	3.21669521740472e-07	4.10357173270911e-07	3.52617985078631e-07	3.53184172167169e-07	4.38110772610323e-07
