"site"	"habitat"	"refugia_distance"	"annual_precipitation"	"observation_time"	"behavior"	"behavioral_class"	"presence"
"145"	"Mt. Cristal"	"forest"	3.679357154	63	12	"Ant fishing"	"simple"	0
"146"	"Mt. Cristal"	"forest"	3.679357154	63	12	"Honey above-ground"	"simple"	0
"147"	"Mt. Cristal"	"forest"	3.679357154	63	12	"Honey eating"	"non-tool"	0
"148"	"Mt. Cristal"	"forest"	3.679357154	63	12	"Honey toolset"	"complex"	0
"149"	"Mt. Cristal"	"forest"	3.679357154	63	12	"Honey underground "	"simple"	0
"150"	"Mt. Cristal"	"forest"	3.679357154	63	12	"Leaf sponge"	"simple"	0
"151"	"Mt. Cristal"	"forest"	3.679357154	63	12	"Marrow pick"	"simple"	0
"155"	"Mt. Cristal"	"forest"	3.679357154	63	12	"Underground toolset"	"complex"	1
"156"	"Mt. Cristal"	"forest"	3.679357154	63	12	"Water dipping"	"simple"	0
"357"	"Mt. Cristal"	"forest"	3.679357154	63	12	"Termite fishing"	"simple"	1
"386"	"Mt. Cristal"	"forest"	3.679357154	63	12	"Algae fishing"	"simple"	0
"411"	"Mt. Cristal"	"forest"	3.679357154	63	12	"Termite eating"	"non-tool"	0
"414"	"Mt. Cristal"	"forest"	3.679357154	63	12	"Ant dipping"	"simple"	0
"436"	"Mt. Cristal"	"forest"	3.679357154	63	12	"Nut cracking"	"complex"	0
"116"	"Mt. Sangbe"	"savannah"	109.8262302	66	17	"Algae fishing"	"simple"	0
"117"	"Mt. Sangbe"	"savannah"	109.8262302	66	17	"Ant dipping"	"simple"	0
"118"	"Mt. Sangbe"	"savannah"	109.8262302	66	17	"Ant eating"	"non-tool"	0
"119"	"Mt. Sangbe"	"savannah"	109.8262302	66	17	"Ant fishing"	"simple"	0
"201"	"Mt. Sangbe"	"savannah"	109.8262302	66	17	"Honey above-ground"	"simple"	0
"202"	"Mt. Sangbe"	"savannah"	109.8262302	66	17	"Honey eating"	"non-tool"	0
"243"	"Mt. Sangbe"	"savannah"	109.8262302	66	17	"Honey toolset"	"complex"	0
"244"	"Mt. Sangbe"	"savannah"	109.8262302	66	17	"Honey underground "	"simple"	0
"245"	"Mt. Sangbe"	"savannah"	109.8262302	66	17	"Leaf sponge"	"simple"	0
"246"	"Mt. Sangbe"	"savannah"	109.8262302	66	17	"Marrow pick"	"simple"	0
"247"	"Mt. Sangbe"	"savannah"	109.8262302	66	17	"Nut cracking"	"complex"	0
"248"	"Mt. Sangbe"	"savannah"	109.8262302	66	17	"Termite eating"	"non-tool"	0
"249"	"Mt. Sangbe"	"savannah"	109.8262302	66	17	"Termite fishing"	"simple"	0
"292"	"Mt. Sangbe"	"savannah"	109.8262302	66	17	"Water dipping"	"simple"	0
"319"	"Mt. Sangbe"	"savannah"	109.8262302	66	17	"Underground toolset"	"complex"	0
"300"	"Ngogo"	"forest"	68.76782506	43	12	"Honey underground "	"simple"	0
"301"	"Ngogo"	"forest"	68.76782506	43	12	"Leaf sponge"	"simple"	1
"388"	"Ngogo"	"forest"	68.76782506	43	12	"Algae fishing"	"simple"	NA
"389"	"Ngogo"	"forest"	68.76782506	43	12	"Ant dipping"	"simple"	0
"406"	"Ngogo"	"forest"	68.76782506	43	12	"Honey above-ground"	"simple"	1
"421"	"Ngogo"	"forest"	68.76782506	43	12	"Water dipping"	"simple"	1
"444"	"Ngogo"	"forest"	68.76782506	43	12	"Underground toolset"	"complex"	0
"447"	"Ngogo"	"forest"	68.76782506	43	12	"Ant fishing"	"simple"	0
"450"	"Ngogo"	"forest"	68.76782506	43	12	"Honey toolset"	"complex"	0
"459"	"Ngogo"	"forest"	68.76782506	43	12	"Termite eating"	"non-tool"	0
"468"	"Ngogo"	"forest"	68.76782506	43	12	"Honey eating"	"non-tool"	1
"478"	"Ngogo"	"forest"	68.76782506	43	12	"Ant eating"	"non-tool"	0
"481"	"Ngogo"	"forest"	68.76782506	43	12	"Nut cracking"	"complex"	NA
"487"	"Ngogo"	"forest"	68.76782506	43	12	"Termite fishing"	"simple"	1
"491"	"Ngogo"	"forest"	68.76782506	43	12	"Marrow pick"	"simple"	0
"188"	"Nyungwe"	"forest"	35.60075596	48	12	"Algae fishing"	"simple"	0
"189"	"Nyungwe"	"forest"	35.60075596	48	12	"Ant dipping"	"simple"	0
"190"	"Nyungwe"	"forest"	35.60075596	48	12	"Ant eating"	"non-tool"	0
"191"	"Nyungwe"	"forest"	35.60075596	48	12	"Ant fishing"	"simple"	0
"242"	"Nyungwe"	"forest"	35.60075596	48	12	"Termite fishing"	"simple"	0
"279"	"Nyungwe"	"forest"	35.60075596	48	12	"Marrow pick"	"simple"	0
"280"	"Nyungwe"	"forest"	35.60075596	48	12	"Nut cracking"	"complex"	0
"283"	"Nyungwe"	"forest"	35.60075596	48	12	"Underground toolset"	"complex"	0
"284"	"Nyungwe"	"forest"	35.60075596	48	12	"Water dipping"	"simple"	0
"318"	"Nyungwe"	"forest"	35.60075596	48	12	"Leaf sponge"	"simple"	0
"322"	"Nyungwe"	"forest"	35.60075596	48	12	"Termite eating"	"non-tool"	0
"358"	"Nyungwe"	"forest"	35.60075596	48	12	"Honey underground "	"simple"	1
"395"	"Nyungwe"	"forest"	35.60075596	48	12	"Honey above-ground"	"simple"	1
"396"	"Nyungwe"	"forest"	35.60075596	48	12	"Honey eating"	"non-tool"	0
"397"	"Nyungwe"	"forest"	35.60075596	48	12	"Honey toolset"	"complex"	0
"256"	"Outamba-Kilimi"	"savannah"	296.0390258	86	27	"Underground toolset"	"complex"	0
"257"	"Outamba-Kilimi"	"savannah"	296.0390258	86	27	"Water dipping"	"simple"	0
"291"	"Outamba-Kilimi"	"savannah"	296.0390258	86	27	"Honey underground "	"simple"	0
"366"	"Outamba-Kilimi"	"savannah"	296.0390258	86	27	"Algae fishing"	"simple"	0
"367"	"Outamba-Kilimi"	"savannah"	296.0390258	86	27	"Ant dipping"	"simple"	0
"368"	"Outamba-Kilimi"	"savannah"	296.0390258	86	27	"Ant eating"	"non-tool"	0
"370"	"Outamba-Kilimi"	"savannah"	296.0390258	86	27	"Ant fishing"	"simple"	0
"371"	"Outamba-Kilimi"	"savannah"	296.0390258	86	27	"Honey above-ground"	"simple"	0
"387"	"Outamba-Kilimi"	"savannah"	296.0390258	86	27	"Honey eating"	"non-tool"	0
"426"	"Outamba-Kilimi"	"savannah"	296.0390258	86	27	"Nut cracking"	"complex"	0
"442"	"Outamba-Kilimi"	"savannah"	296.0390258	86	27	"Honey toolset"	"complex"	0
"456"	"Outamba-Kilimi"	"savannah"	296.0390258	86	27	"Marrow pick"	"simple"	0
"488"	"Outamba-Kilimi"	"savannah"	296.0390258	86	27	"Termite eating"	"non-tool"	0
"492"	"Outamba-Kilimi"	"savannah"	296.0390258	86	27	"Termite fishing"	"simple"	0
"495"	"Outamba-Kilimi"	"savannah"	296.0390258	86	27	"Leaf sponge"	"simple"	0
"313"	"Rubi-Tele"	"forest"	136.5372126	39	19	"Water dipping"	"simple"	0
"320"	"Rubi-Tele"	"forest"	136.5372126	39	19	"Honey underground "	"simple"	0
"334"	"Rubi-Tele"	"forest"	136.5372126	39	19	"Leaf sponge"	"simple"	0
"343"	"Rubi-Tele"	"forest"	136.5372126	39	19	"Honey above-ground"	"simple"	0
"344"	"Rubi-Tele"	"forest"	136.5372126	39	19	"Honey eating"	"non-tool"	0
"345"	"Rubi-Tele"	"forest"	136.5372126	39	19	"Honey toolset"	"complex"	0
"348"	"Rubi-Tele"	"forest"	136.5372126	39	19	"Marrow pick"	"simple"	0
"349"	"Rubi-Tele"	"forest"	136.5372126	39	19	"Nut cracking"	"complex"	0
"350"	"Rubi-Tele"	"forest"	136.5372126	39	19	"Termite eating"	"non-tool"	0
"351"	"Rubi-Tele"	"forest"	136.5372126	39	19	"Termite fishing"	"simple"	0
"352"	"Rubi-Tele"	"forest"	136.5372126	39	19	"Underground toolset"	"complex"	0
"427"	"Rubi-Tele"	"forest"	136.5372126	39	19	"Ant fishing"	"simple"	1
"454"	"Rubi-Tele"	"forest"	136.5372126	39	19	"Algae fishing"	"simple"	0
"460"	"Rubi-Tele"	"forest"	136.5372126	39	19	"Ant eating"	"non-tool"	0
"474"	"Rubi-Tele"	"forest"	136.5372126	39	19	"Ant dipping"	"simple"	0
"47"	"Sangaredi"	"savannah"	550.6225885	115	17	"Honey underground "	"simple"	0
"48"	"Sangaredi"	"savannah"	550.6225885	115	17	"Nut cracking"	"complex"	0
"49"	"Sangaredi"	"savannah"	550.6225885	115	17	"Honey eating"	"non-tool"	0
"50"	"Sangaredi"	"savannah"	550.6225885	115	17	"Honey toolset"	"complex"	0
"51"	"Sangaredi"	"savannah"	550.6225885	115	17	"Termite eating"	"non-tool"	0
"52"	"Sangaredi"	"savannah"	550.6225885	115	17	"Ant dipping"	"simple"	1
"53"	"Sangaredi"	"savannah"	550.6225885	115	17	"Algae fishing"	"simple"	1
"54"	"Sangaredi"	"savannah"	550.6225885	115	17	"Marrow pick"	"simple"	0
"55"	"Sangaredi"	"savannah"	550.6225885	115	17	"Ant fishing"	"simple"	0
"56"	"Sangaredi"	"savannah"	550.6225885	115	17	"Underground toolset"	"complex"	0
"62"	"Sangaredi"	"savannah"	550.6225885	115	17	"Leaf sponge"	"simple"	0
"63"	"Sangaredi"	"savannah"	550.6225885	115	17	"Termite fishing"	"simple"	0
"64"	"Sangaredi"	"savannah"	550.6225885	115	17	"Ant eating"	"non-tool"	0
"65"	"Sangaredi"	"savannah"	550.6225885	115	17	"Honey above-ground"	"simple"	0
"66"	"Sangaredi"	"savannah"	550.6225885	115	17	"Water dipping"	"simple"	0
"127"	"Sapo"	"forest"	0	43	20	"Leaf sponge"	"simple"	0
"128"	"Sapo"	"forest"	0	43	20	"Marrow pick"	"simple"	0
"129"	"Sapo"	"forest"	0	43	20	"Honey toolset"	"complex"	0
"130"	"Sapo"	"forest"	0	43	20	"Underground toolset"	"complex"	0
"139"	"Sapo"	"forest"	0	43	20	"Algae fishing"	"simple"	0
"261"	"Sapo"	"forest"	0	43	20	"Termite eating"	"non-tool"	0
"362"	"Sapo"	"forest"	0	43	20	"Nut cracking"	"complex"	1
"363"	"Sapo"	"forest"	0	43	20	"Ant dipping"	"simple"	0
"379"	"Sapo"	"forest"	0	43	20	"Honey underground "	"simple"	0
"380"	"Sapo"	"forest"	0	43	20	"Termite fishing"	"simple"	0
"381"	"Sapo"	"forest"	0	43	20	"Water dipping"	"simple"	0
"385"	"Sapo"	"forest"	0	43	20	"Ant eating"	"non-tool"	0
"410"	"Sapo"	"forest"	0	43	20	"Ant fishing"	"simple"	0
"452"	"Sapo"	"forest"	0	43	20	"Honey eating"	"non-tool"	0
"455"	"Sapo"	"forest"	0	43	20	"Honey above-ground"	"simple"	0
"37"	"Sobeya"	"savannah"	396.3649011	102	12	"Honey above-ground"	"simple"	0
"38"	"Sobeya"	"savannah"	396.3649011	102	12	"Honey eating"	"non-tool"	0
"39"	"Sobeya"	"savannah"	396.3649011	102	12	"Ant dipping"	"simple"	0
"40"	"Sobeya"	"savannah"	396.3649011	102	12	"Honey toolset"	"complex"	0
"41"	"Sobeya"	"savannah"	396.3649011	102	12	"Marrow pick"	"simple"	0
"42"	"Sobeya"	"savannah"	396.3649011	102	12	"Leaf sponge"	"simple"	0
"43"	"Sobeya"	"savannah"	396.3649011	102	12	"Termite eating"	"non-tool"	0
"44"	"Sobeya"	"savannah"	396.3649011	102	12	"Ant fishing"	"simple"	0
"45"	"Sobeya"	"savannah"	396.3649011	102	12	"Honey underground "	"simple"	0
"46"	"Sobeya"	"savannah"	396.3649011	102	12	"Algae fishing"	"simple"	1
"152"	"Sobeya"	"savannah"	396.3649011	102	12	"Nut cracking"	"complex"	0
"153"	"Sobeya"	"savannah"	396.3649011	102	12	"Ant eating"	"non-tool"	0
"154"	"Sobeya"	"savannah"	396.3649011	102	12	"Water dipping"	"simple"	0
"157"	"Sobeya"	"savannah"	396.3649011	102	12	"Underground toolset"	"complex"	0
"168"	"Sobeya"	"savannah"	396.3649011	102	12	"Termite fishing"	"simple"	1
"511"	"Tai"	"forest"	46.02915325	54.8	204	"Honey underground "	"simple"	0
"512"	"Tai"	"forest"	46.02915325	54.8	204	"Termite fishing"	"simple"	NA
"513"	"Tai"	"forest"	46.02915325	54.8	204	"Underground toolset"	"complex"	NA
"514"	"Tai"	"forest"	46.02915325	54.8	204	"Marrow pick"	"simple"	1
"515"	"Tai"	"forest"	46.02915325	54.8	204	"Water dipping"	"simple"	0
"516"	"Tai"	"forest"	46.02915325	54.8	204	"Leaf sponge"	"simple"	1
"517"	"Tai"	"forest"	46.02915325	54.8	204	"Ant fishing"	"simple"	NA
"518"	"Tai"	"forest"	46.02915325	54.8	204	"Honey eating"	"non-tool"	1
"519"	"Tai"	"forest"	46.02915325	54.8	204	"Ant eating"	"non-tool"	1
"520"	"Tai"	"forest"	46.02915325	54.8	204	"Honey toolset"	"complex"	0
"521"	"Tai"	"forest"	46.02915325	54.8	204	"Nut cracking"	"complex"	1
"522"	"Tai"	"forest"	46.02915325	54.8	204	"Ant dipping"	"simple"	1
"523"	"Tai"	"forest"	46.02915325	54.8	204	"Algae fishing"	"simple"	NA
"524"	"Tai"	"forest"	46.02915325	54.8	204	"Honey above-ground"	"simple"	1
"525"	"Tai"	"forest"	46.02915325	54.8	204	"Termite eating"	"non-tool"	1
