"site1"	"site2"	"dyad_ID"	"ibd_binary"	"ibd_source_fontsere_etal_2022"
"70"	"Bwindi"	"Djouroutou"	"Bwindi_Djouroutou"	0	"0"
"71"	"Bateke"	"Djouroutou"	"Bateke_Djouroutou"	0	"0"
"72"	"Bili-Uele"	"Djouroutou"	"Bili-Uele_Djouroutou"	0	"0"
"73"	"Conkouati"	"Djouroutou"	"Conkouati_Djouroutou"	0	"0"
"74"	"Dindefelo"	"Djouroutou"	"Dindefelo_Djouroutou"	1	"tableS9"
"75"	"Comoe"	"Djouroutou"	"Comoe_Djouroutou"	1	"tableS9"
"76"	"Budongo"	"Djouroutou"	"Budongo_Djouroutou"	0	"0"
"77"	"Bafing"	"Djouroutou"	"Bafing_Djouroutou"	1	"tableS9"
"78"	"Boe"	"Djouroutou"	"Boe_Djouroutou"	1	"tableS9"
"79"	"Comoe"	"East Nimba"	"Comoe_East Nimba"	1	"tableS9"
"80"	"Dindefelo"	"East Nimba"	"Dindefelo_East Nimba"	1	"tableS9"
"81"	"Bwindi"	"East Nimba"	"Bwindi_East Nimba"	0	"0"
"82"	"Djouroutou"	"East Nimba"	"Djouroutou_East Nimba"	1	"tableS9"
"83"	"Bateke"	"East Nimba"	"Bateke_East Nimba"	0	"0"
"84"	"Boe"	"East Nimba"	"Boe_East Nimba"	1	"tableS9"
"85"	"Bafing"	"East Nimba"	"Bafing_East Nimba"	0	"0"
"86"	"Bili-Uele"	"East Nimba"	"Bili-Uele_East Nimba"	0	"0"
"87"	"Budongo"	"East Nimba"	"Budongo_East Nimba"	0	"0"
"88"	"Conkouati"	"East Nimba"	"Conkouati_East Nimba"	0	"0"
"89"	"Boe"	"Gashaka"	"Boe_Gashaka"	0	"0"
"90"	"Bafing"	"Gashaka"	"Bafing_Gashaka"	0	"0"
"91"	"Bwindi"	"Gashaka"	"Bwindi_Gashaka"	0	"0"
"92"	"Comoe"	"Gashaka"	"Comoe_Gashaka"	0	"0"
"93"	"Dindefelo"	"Gashaka"	"Dindefelo_Gashaka"	0	"0"
"94"	"Bili-Uele"	"Gashaka"	"Bili-Uele_Gashaka"	1	"fig3"
"95"	"Conkouati"	"Gashaka"	"Conkouati_Gashaka"	0	"0"
"96"	"East Nimba"	"Gashaka"	"East Nimba_Gashaka"	0	"0"
"97"	"Djouroutou"	"Gashaka"	"Djouroutou_Gashaka"	0	"0"
"98"	"Bateke"	"Gashaka"	"Bateke_Gashaka"	0	"0"
"99"	"Budongo"	"Gashaka"	"Budongo_Gashaka"	0	"0"
"100"	"East Nimba"	"Gishwati"	"East Nimba_Gishwati"	0	"0"
