"site1"	"site2"	"dyad_ID"	"ibd_binary"	"ibd_source_fontsere_etal_2022"
"332"	"Mt. Cameroon"	"Mt. Cristal"	"Mt. Cameroon_Mt. Cristal"	0	"0"
"333"	"Korup"	"Mt. Cristal"	"Korup_Mt. Cristal"	0	"0"
"334"	"Kayan"	"Mt. Cristal"	"Kayan_Mt. Cristal"	0	"0"
"335"	"La Belgique"	"Mt. Sangbe"	"La Belgique_Mt. Sangbe"	0	"0"
"336"	"Bili-Uele"	"Mt. Sangbe"	"Bili-Uele_Mt. Sangbe"	0	"0"
"337"	"Bateke"	"Mt. Sangbe"	"Bateke_Mt. Sangbe"	0	"0"
"338"	"East Nimba"	"Mt. Sangbe"	"East Nimba_Mt. Sangbe"	1	"tableS9"
"339"	"Bafing"	"Mt. Sangbe"	"Bafing_Mt. Sangbe"	0	"0"
"340"	"Grebo"	"Mt. Sangbe"	"Grebo_Mt. Sangbe"	1	"tableS9"
"341"	"Lope"	"Mt. Sangbe"	"Lope_Mt. Sangbe"	0	"0"
"342"	"Comoe"	"Mt. Sangbe"	"Comoe_Mt. Sangbe"	1	"figS93"
"343"	"Goualougo"	"Mt. Sangbe"	"Goualougo_Mt. Sangbe"	0	"0"
"344"	"Issa-Ugalla"	"Mt. Sangbe"	"Issa-Ugalla_Mt. Sangbe"	0	"0"
"345"	"Conkouati"	"Mt. Sangbe"	"Conkouati_Mt. Sangbe"	0	"0"
"346"	"Gashaka"	"Mt. Sangbe"	"Gashaka_Mt. Sangbe"	0	"0"
"347"	"Kabogo"	"Mt. Sangbe"	"Kabogo_Mt. Sangbe"	0	"0"
"348"	"Boe"	"Mt. Sangbe"	"Boe_Mt. Sangbe"	0	"0"
"349"	"Bwindi"	"Mt. Sangbe"	"Bwindi_Mt. Sangbe"	0	"0"
"350"	"Mt. Cameroon"	"Mt. Sangbe"	"Mt. Cameroon_Mt. Sangbe"	0	"0"
"351"	"Kayan"	"Mt. Sangbe"	"Kayan_Mt. Sangbe"	1	"tableS9"
"352"	"Loango"	"Mt. Sangbe"	"Loango_Mt. Sangbe"	0	"0"
"353"	"Budongo"	"Mt. Sangbe"	"Budongo_Mt. Sangbe"	0	"0"
"354"	"Djouroutou"	"Mt. Sangbe"	"Djouroutou_Mt. Sangbe"	1	"tableS9"
"355"	"Gishwati"	"Mt. Sangbe"	"Gishwati_Mt. Sangbe"	0	"0"
"356"	"Mbe"	"Mt. Sangbe"	"Mbe_Mt. Sangbe"	0	"0"
"357"	"Dindefelo"	"Mt. Sangbe"	"Dindefelo_Mt. Sangbe"	0	"0"
"358"	"Korup"	"Mt. Sangbe"	"Korup_Mt. Sangbe"	0	"0"
"359"	"Bafing"	"Ngogo"	"Bafing_Ngogo"	0	"0"
"360"	"Mt. Sangbe"	"Ngogo"	"Mt. Sangbe_Ngogo"	0	"0"
"361"	"Gashaka"	"Ngogo"	"Gashaka_Ngogo"	1	"fig3"
"362"	"Goualougo"	"Ngogo"	"Goualougo_Ngogo"	0	"0"
"363"	"Bili-Uele"	"Ngogo"	"Bili-Uele_Ngogo"	1	"tableS9"
"364"	"Boe"	"Ngogo"	"Boe_Ngogo"	0	"0"
"365"	"La Belgique"	"Ngogo"	"La Belgique_Ngogo"	0	"0"
"366"	"Bateke"	"Ngogo"	"Bateke_Ngogo"	0	"0"
"367"	"Kabogo"	"Ngogo"	"Kabogo_Ngogo"	1	"figS93"
"368"	"Mt. Cameroon"	"Ngogo"	"Mt. Cameroon_Ngogo"	0	"0"
"369"	"East Nimba"	"Ngogo"	"East Nimba_Ngogo"	0	"0"
"370"	"Mt. Cristal"	"Ngogo"	"Mt. Cristal_Ngogo"	1	"fig3"
"371"	"Bwindi"	"Ngogo"	"Bwindi_Ngogo"	1	"tableS9"
"372"	"Loango"	"Ngogo"	"Loango_Ngogo"	0	"0"
"373"	"Conkouati"	"Ngogo"	"Conkouati_Ngogo"	0	"0"
"374"	"Kayan"	"Ngogo"	"Kayan_Ngogo"	0	"0"
"375"	"Mbe"	"Ngogo"	"Mbe_Ngogo"	0	"0"
"376"	"Korup"	"Ngogo"	"Korup_Ngogo"	1	"fig3"
"377"	"Lope"	"Ngogo"	"Lope_Ngogo"	0	"0"
"378"	"Comoe"	"Ngogo"	"Comoe_Ngogo"	0	"0"
"379"	"Gishwati"	"Ngogo"	"Gishwati_Ngogo"	1	"tableS9"
"380"	"Issa-Ugalla"	"Ngogo"	"Issa-Ugalla_Ngogo"	1	"tableS9"
"381"	"Dindefelo"	"Ngogo"	"Dindefelo_Ngogo"	0	"0"
"382"	"Grebo"	"Ngogo"	"Grebo_Ngogo"	0	"0"
"383"	"Djouroutou"	"Ngogo"	"Djouroutou_Ngogo"	0	"0"
"384"	"Budongo"	"Ngogo"	"Budongo_Ngogo"	1	"tableS9"
"385"	"Gashaka"	"Nyungwe"	"Gashaka_Nyungwe"	0	"0"
"386"	"Ngogo"	"Nyungwe"	"Ngogo_Nyungwe"	1	"tableS9"
"387"	"Goualougo"	"Nyungwe"	"Goualougo_Nyungwe"	0	"0"
"388"	"Bafing"	"Nyungwe"	"Bafing_Nyungwe"	0	"0"
"389"	"Mt. Sangbe"	"Nyungwe"	"Mt. Sangbe_Nyungwe"	0	"0"
"390"	"Bwindi"	"Nyungwe"	"Bwindi_Nyungwe"	1	"tableS9"
"391"	"Bili-Uele"	"Nyungwe"	"Bili-Uele_Nyungwe"	1	"tableS9"
"392"	"Boe"	"Nyungwe"	"Boe_Nyungwe"	0	"0"
"393"	"Loango"	"Nyungwe"	"Loango_Nyungwe"	0	"0"
"394"	"Kabogo"	"Nyungwe"	"Kabogo_Nyungwe"	0	"0"
"395"	"Dindefelo"	"Nyungwe"	"Dindefelo_Nyungwe"	0	"0"
"396"	"Mbe"	"Nyungwe"	"Mbe_Nyungwe"	0	"0"
"397"	"Korup"	"Nyungwe"	"Korup_Nyungwe"	0	"0"
"398"	"Mt. Cristal"	"Nyungwe"	"Mt. Cristal_Nyungwe"	0	"0"
"399"	"Kayan"	"Nyungwe"	"Kayan_Nyungwe"	0	"0"
"400"	"Djouroutou"	"Nyungwe"	"Djouroutou_Nyungwe"	0	"0"
"401"	"Gishwati"	"Nyungwe"	"Gishwati_Nyungwe"	1	"tableS9"
"402"	"Issa-Ugalla"	"Nyungwe"	"Issa-Ugalla_Nyungwe"	1	"tableS9"
"403"	"East Nimba"	"Nyungwe"	"East Nimba_Nyungwe"	0	"0"
"404"	"Comoe"	"Nyungwe"	"Comoe_Nyungwe"	0	"0"
"405"	"Conkouati"	"Nyungwe"	"Conkouati_Nyungwe"	0	"0"
"406"	"Lope"	"Nyungwe"	"Lope_Nyungwe"	0	"0"
"407"	"Budongo"	"Nyungwe"	"Budongo_Nyungwe"	1	"tableS9"
"408"	"Grebo"	"Nyungwe"	"Grebo_Nyungwe"	0	"0"
"409"	"La Belgique"	"Nyungwe"	"La Belgique_Nyungwe"	0	"0"
"410"	"Mt. Cameroon"	"Nyungwe"	"Mt. Cameroon_Nyungwe"	0	"0"
"411"	"Bateke"	"Nyungwe"	"Bateke_Nyungwe"	0	"0"
"412"	"Loango"	"Outamba-Kilimi"	"Loango_Outamba-Kilimi"	NA	"0"
"413"	"Ngogo"	"Outamba-Kilimi"	"Ngogo_Outamba-Kilimi"	NA	"0"
"414"	"Kayan"	"Outamba-Kilimi"	"Kayan_Outamba-Kilimi"	NA	"0"
"415"	"Bwindi"	"Outamba-Kilimi"	"Bwindi_Outamba-Kilimi"	NA	"0"
"416"	"Gashaka"	"Outamba-Kilimi"	"Gashaka_Outamba-Kilimi"	NA	"0"
"417"	"Comoe"	"Outamba-Kilimi"	"Comoe_Outamba-Kilimi"	NA	"0"
"418"	"Boe"	"Outamba-Kilimi"	"Boe_Outamba-Kilimi"	NA	"0"
"419"	"Kabogo"	"Outamba-Kilimi"	"Kabogo_Outamba-Kilimi"	NA	"0"
"420"	"Korup"	"Outamba-Kilimi"	"Korup_Outamba-Kilimi"	NA	"0"
"421"	"Nyungwe"	"Outamba-Kilimi"	"Nyungwe_Outamba-Kilimi"	NA	"0"
"422"	"Grebo"	"Outamba-Kilimi"	"Grebo_Outamba-Kilimi"	NA	"0"
"423"	"Goualougo"	"Outamba-Kilimi"	"Goualougo_Outamba-Kilimi"	NA	"0"
"424"	"Mbe"	"Outamba-Kilimi"	"Mbe_Outamba-Kilimi"	NA	"0"
"425"	"Bili-Uele"	"Outamba-Kilimi"	"Bili-Uele_Outamba-Kilimi"	NA	"0"
"426"	"Djouroutou"	"Outamba-Kilimi"	"Djouroutou_Outamba-Kilimi"	NA	"0"
"427"	"Dindefelo"	"Outamba-Kilimi"	"Dindefelo_Outamba-Kilimi"	NA	"0"
"428"	"Bafing"	"Outamba-Kilimi"	"Bafing_Outamba-Kilimi"	NA	"0"
"429"	"Lope"	"Outamba-Kilimi"	"Lope_Outamba-Kilimi"	NA	"0"
"430"	"Budongo"	"Outamba-Kilimi"	"Budongo_Outamba-Kilimi"	NA	"0"
"431"	"Conkouati"	"Outamba-Kilimi"	"Conkouati_Outamba-Kilimi"	NA	"0"
"432"	"Issa-Ugalla"	"Outamba-Kilimi"	"Issa-Ugalla_Outamba-Kilimi"	NA	"0"
"433"	"Mt. Sangbe"	"Outamba-Kilimi"	"Mt. Sangbe_Outamba-Kilimi"	NA	"0"
"434"	"Mt. Cristal"	"Outamba-Kilimi"	"Mt. Cristal_Outamba-Kilimi"	NA	"0"
"435"	"Gishwati"	"Outamba-Kilimi"	"Gishwati_Outamba-Kilimi"	NA	"0"
"436"	"East Nimba"	"Outamba-Kilimi"	"East Nimba_Outamba-Kilimi"	NA	"0"
"437"	"Bateke"	"Outamba-Kilimi"	"Bateke_Outamba-Kilimi"	NA	"0"
"438"	"La Belgique"	"Outamba-Kilimi"	"La Belgique_Outamba-Kilimi"	NA	"0"
"439"	"Mt. Cameroon"	"Outamba-Kilimi"	"Mt. Cameroon_Outamba-Kilimi"	NA	"0"
"440"	"Boe"	"Rubi-Tele"	"Boe_Rubi-Tele"	0	"0"
"441"	"Comoe"	"Rubi-Tele"	"Comoe_Rubi-Tele"	0	"0"
"442"	"Goualougo"	"Rubi-Tele"	"Goualougo_Rubi-Tele"	0	"0"
"443"	"Kabogo"	"Rubi-Tele"	"Kabogo_Rubi-Tele"	0	"0"
"444"	"Kayan"	"Rubi-Tele"	"Kayan_Rubi-Tele"	0	"0"
"445"	"Bwindi"	"Rubi-Tele"	"Bwindi_Rubi-Tele"	1	"tableS9"
"446"	"Korup"	"Rubi-Tele"	"Korup_Rubi-Tele"	0	"0"
"447"	"Mt. Cristal"	"Rubi-Tele"	"Mt. Cristal_Rubi-Tele"	0	"0"
"448"	"Budongo"	"Rubi-Tele"	"Budongo_Rubi-Tele"	1	"tableS9"
"449"	"Gashaka"	"Rubi-Tele"	"Gashaka_Rubi-Tele"	0	"0"
"450"	"Dindefelo"	"Rubi-Tele"	"Dindefelo_Rubi-Tele"	0	"0"
"451"	"Mbe"	"Rubi-Tele"	"Mbe_Rubi-Tele"	0	"0"
"452"	"Mt. Cameroon"	"Rubi-Tele"	"Mt. Cameroon_Rubi-Tele"	0	"0"
"453"	"Lope"	"Rubi-Tele"	"Lope_Rubi-Tele"	0	"0"
"454"	"Gishwati"	"Rubi-Tele"	"Gishwati_Rubi-Tele"	0	"0"
"455"	"Outamba-Kilimi"	"Rubi-Tele"	"Outamba-Kilimi_Rubi-Tele"	NA	"0"
"456"	"Issa-Ugalla"	"Rubi-Tele"	"Issa-Ugalla_Rubi-Tele"	0	"0"
"457"	"Nyungwe"	"Rubi-Tele"	"Nyungwe_Rubi-Tele"	1	"figS93"
"458"	"Djouroutou"	"Rubi-Tele"	"Djouroutou_Rubi-Tele"	0	"0"
"459"	"Loango"	"Rubi-Tele"	"Loango_Rubi-Tele"	0	"0"
"460"	"Conkouati"	"Rubi-Tele"	"Conkouati_Rubi-Tele"	0	"0"
"461"	"Ngogo"	"Rubi-Tele"	"Ngogo_Rubi-Tele"	1	"tableS9"
"462"	"Bili-Uele"	"Rubi-Tele"	"Bili-Uele_Rubi-Tele"	0	"0"
"463"	"Grebo"	"Rubi-Tele"	"Grebo_Rubi-Tele"	0	"0"
"464"	"Bafing"	"Rubi-Tele"	"Bafing_Rubi-Tele"	0	"0"
"465"	"La Belgique"	"Rubi-Tele"	"La Belgique_Rubi-Tele"	0	"0"
"466"	"Mt. Sangbe"	"Rubi-Tele"	"Mt. Sangbe_Rubi-Tele"	0	"0"
"467"	"East Nimba"	"Rubi-Tele"	"East Nimba_Rubi-Tele"	0	"0"
"468"	"Bateke"	"Rubi-Tele"	"Bateke_Rubi-Tele"	0	"0"
"469"	"Kabogo"	"Sangaredi"	"Kabogo_Sangaredi"	0	"0"
"470"	"Issa-Ugalla"	"Sangaredi"	"Issa-Ugalla_Sangaredi"	0	"0"
"471"	"Gashaka"	"Sangaredi"	"Gashaka_Sangaredi"	0	"0"
"472"	"Djouroutou"	"Sangaredi"	"Djouroutou_Sangaredi"	1	"tableS9"
"473"	"Mt. Cristal"	"Sangaredi"	"Mt. Cristal_Sangaredi"	0	"0"
"474"	"Dindefelo"	"Sangaredi"	"Dindefelo_Sangaredi"	1	"tableS9"
"475"	"Mt. Cameroon"	"Sangaredi"	"Mt. Cameroon_Sangaredi"	0	"0"
"476"	"Conkouati"	"Sangaredi"	"Conkouati_Sangaredi"	0	"0"
"477"	"La Belgique"	"Sangaredi"	"La Belgique_Sangaredi"	0	"0"
"478"	"Mbe"	"Sangaredi"	"Mbe_Sangaredi"	0	"0"
"479"	"Nyungwe"	"Sangaredi"	"Nyungwe_Sangaredi"	0	"0"
"480"	"Goualougo"	"Sangaredi"	"Goualougo_Sangaredi"	0	"0"
"481"	"Budongo"	"Sangaredi"	"Budongo_Sangaredi"	0	"0"
"482"	"Kayan"	"Sangaredi"	"Kayan_Sangaredi"	1	"tableS9"
"483"	"Loango"	"Sangaredi"	"Loango_Sangaredi"	0	"0"
"484"	"Lope"	"Sangaredi"	"Lope_Sangaredi"	0	"0"
"485"	"Gishwati"	"Sangaredi"	"Gishwati_Sangaredi"	0	"0"
"486"	"Grebo"	"Sangaredi"	"Grebo_Sangaredi"	1	"tableS9"
"487"	"East Nimba"	"Sangaredi"	"East Nimba_Sangaredi"	1	"tableS9"
"488"	"Outamba-Kilimi"	"Sangaredi"	"Outamba-Kilimi_Sangaredi"	NA	"0"
"489"	"Rubi-Tele"	"Sangaredi"	"Rubi-Tele_Sangaredi"	0	"0"
"490"	"Boe"	"Sangaredi"	"Boe_Sangaredi"	1	"tableS9"
"491"	"Korup"	"Sangaredi"	"Korup_Sangaredi"	0	"0"
"492"	"Bateke"	"Sangaredi"	"Bateke_Sangaredi"	0	"0"
"493"	"Ngogo"	"Sangaredi"	"Ngogo_Sangaredi"	0	"0"
"494"	"Bili-Uele"	"Sangaredi"	"Bili-Uele_Sangaredi"	0	"0"
"495"	"Bwindi"	"Sangaredi"	"Bwindi_Sangaredi"	0	"0"
"496"	"Bafing"	"Sangaredi"	"Bafing_Sangaredi"	1	"tableS9"
"497"	"Comoe"	"Sangaredi"	"Comoe_Sangaredi"	1	"tableS9"
"498"	"Mt. Sangbe"	"Sangaredi"	"Mt. Sangbe_Sangaredi"	1	"tableS9"
"499"	"East Nimba"	"Sapo"	"East Nimba_Sapo"	1	"tableS9"
"500"	"Bateke"	"Sapo"	"Bateke_Sapo"	0	"0"
"501"	"La Belgique"	"Sapo"	"La Belgique_Sapo"	0	"0"
"502"	"Issa-Ugalla"	"Sapo"	"Issa-Ugalla_Sapo"	0	"0"
"503"	"Boe"	"Sapo"	"Boe_Sapo"	1	"tableS9"
"504"	"Gishwati"	"Sapo"	"Gishwati_Sapo"	0	"0"
"505"	"Loango"	"Sapo"	"Loango_Sapo"	0	"0"
"506"	"Bwindi"	"Sapo"	"Bwindi_Sapo"	0	"0"
"507"	"Comoe"	"Sapo"	"Comoe_Sapo"	1	"tableS9"
"508"	"Dindefelo"	"Sapo"	"Dindefelo_Sapo"	1	"tableS9"
"509"	"Korup"	"Sapo"	"Korup_Sapo"	0	"0"
"510"	"Bili-Uele"	"Sapo"	"Bili-Uele_Sapo"	0	"0"
"511"	"Djouroutou"	"Sapo"	"Djouroutou_Sapo"	1	"tableS9"
"512"	"Rubi-Tele"	"Sapo"	"Rubi-Tele_Sapo"	0	"0"
"513"	"Kabogo"	"Sapo"	"Kabogo_Sapo"	0	"0"
"514"	"Mt. Cameroon"	"Sapo"	"Mt. Cameroon_Sapo"	0	"0"
"515"	"Sangaredi"	"Sapo"	"Sangaredi_Sapo"	1	"tableS9"
"516"	"Conkouati"	"Sapo"	"Conkouati_Sapo"	0	"0"
"517"	"Ngogo"	"Sapo"	"Ngogo_Sapo"	0	"0"
"518"	"Budongo"	"Sapo"	"Budongo_Sapo"	0	"0"
"519"	"Bafing"	"Sapo"	"Bafing_Sapo"	1	"tableS9"
"520"	"Mt. Cristal"	"Sapo"	"Mt. Cristal_Sapo"	0	"0"
"521"	"Kayan"	"Sapo"	"Kayan_Sapo"	1	"tableS9"
"522"	"Mbe"	"Sapo"	"Mbe_Sapo"	0	"0"
"523"	"Grebo"	"Sapo"	"Grebo_Sapo"	1	"tableS9"
"524"	"Mt. Sangbe"	"Sapo"	"Mt. Sangbe_Sapo"	0	"0"
"525"	"Outamba-Kilimi"	"Sapo"	"Outamba-Kilimi_Sapo"	NA	"0"
"526"	"Goualougo"	"Sapo"	"Goualougo_Sapo"	0	"0"
"527"	"Gashaka"	"Sapo"	"Gashaka_Sapo"	0	"0"
"528"	"Lope"	"Sapo"	"Lope_Sapo"	0	"0"
"529"	"Nyungwe"	"Sapo"	"Nyungwe_Sapo"	0	"0"
"530"	"Mt. Sangbe"	"Sobeya"	"Mt. Sangbe_Sobeya"	0	"0"
"531"	"Kabogo"	"Sobeya"	"Kabogo_Sobeya"	0	"0"
"532"	"Bwindi"	"Sobeya"	"Bwindi_Sobeya"	0	"0"
"533"	"Dindefelo"	"Sobeya"	"Dindefelo_Sobeya"	1	"tableS9"
"534"	"Mbe"	"Sobeya"	"Mbe_Sobeya"	0	"0"
"535"	"Rubi-Tele"	"Sobeya"	"Rubi-Tele_Sobeya"	0	"0"
"536"	"Djouroutou"	"Sobeya"	"Djouroutou_Sobeya"	1	"tableS9"
"537"	"Boe"	"Sobeya"	"Boe_Sobeya"	1	"tableS9"
"538"	"Loango"	"Sobeya"	"Loango_Sobeya"	0	"0"
"539"	"Lope"	"Sobeya"	"Lope_Sobeya"	0	"0"
"540"	"Grebo"	"Sobeya"	"Grebo_Sobeya"	1	"tableS9"
"541"	"Sapo"	"Sobeya"	"Sapo_Sobeya"	1	"tableS9"
"542"	"Bili-Uele"	"Sobeya"	"Bili-Uele_Sobeya"	0	"0"
"543"	"Bafing"	"Sobeya"	"Bafing_Sobeya"	1	"tableS9"
"544"	"Gishwati"	"Sobeya"	"Gishwati_Sobeya"	0	"0"
"545"	"Gashaka"	"Sobeya"	"Gashaka_Sobeya"	0	"0"
"546"	"Conkouati"	"Sobeya"	"Conkouati_Sobeya"	0	"0"
"547"	"Korup"	"Sobeya"	"Korup_Sobeya"	0	"0"
"548"	"Goualougo"	"Sobeya"	"Goualougo_Sobeya"	0	"0"
"549"	"Mt. Cameroon"	"Sobeya"	"Mt. Cameroon_Sobeya"	0	"0"
"550"	"Bateke"	"Sobeya"	"Bateke_Sobeya"	0	"0"
"551"	"Budongo"	"Sobeya"	"Budongo_Sobeya"	0	"0"
"552"	"Mt. Cristal"	"Sobeya"	"Mt. Cristal_Sobeya"	0	"0"
"553"	"La Belgique"	"Sobeya"	"La Belgique_Sobeya"	0	"0"
"554"	"Comoe"	"Sobeya"	"Comoe_Sobeya"	1	"tableS9"
"555"	"Nyungwe"	"Sobeya"	"Nyungwe_Sobeya"	0	"0"
"556"	"East Nimba"	"Sobeya"	"East Nimba_Sobeya"	1	"tableS9"
"557"	"Sangaredi"	"Sobeya"	"Sangaredi_Sobeya"	1	"tableS9"
"558"	"Issa-Ugalla"	"Sobeya"	"Issa-Ugalla_Sobeya"	0	"0"
"559"	"Kayan"	"Sobeya"	"Kayan_Sobeya"	1	"tableS9"
"560"	"Ngogo"	"Sobeya"	"Ngogo_Sobeya"	0	"0"
"561"	"Outamba-Kilimi"	"Sobeya"	"Outamba-Kilimi_Sobeya"	NA	"0"
"562"	"Dindefelo"	"Tai"	"Dindefelo_Tai"	1	"tableS9"
"563"	"Conkouati"	"Tai"	"Conkouati_Tai"	0	"0"
"564"	"Lope"	"Tai"	"Lope_Tai"	0	"0"
"565"	"Mbe"	"Tai"	"Mbe_Tai"	0	"0"
"566"	"Mt. Cameroon"	"Tai"	"Mt. Cameroon_Tai"	0	"0"
"567"	"Bafing"	"Tai"	"Bafing_Tai"	0	"0"
"568"	"East Nimba"	"Tai"	"East Nimba_Tai"	1	"tableS9"
"569"	"Kabogo"	"Tai"	"Kabogo_Tai"	0	"0"
"570"	"Bwindi"	"Tai"	"Bwindi_Tai"	0	"0"
"571"	"Loango"	"Tai"	"Loango_Tai"	0	"0"
"572"	"Budongo"	"Tai"	"Budongo_Tai"	0	"0"
"573"	"Grebo"	"Tai"	"Grebo_Tai"	1	"tableS9"
"574"	"Gashaka"	"Tai"	"Gashaka_Tai"	0	"0"
"575"	"Issa-Ugalla"	"Tai"	"Issa-Ugalla_Tai"	0	"0"
"576"	"La Belgique"	"Tai"	"La Belgique_Tai"	0	"0"
"577"	"Korup"	"Tai"	"Korup_Tai"	0	"0"
"578"	"Bateke"	"Tai"	"Bateke_Tai"	0	"0"
"579"	"Goualougo"	"Tai"	"Goualougo_Tai"	0	"0"
"580"	"Bili-Uele"	"Tai"	"Bili-Uele_Tai"	0	"0"
"581"	"Mt. Cristal"	"Tai"	"Mt. Cristal_Tai"	0	"0"
"582"	"Bakoun-Sobory"	"Tai"	"Bakoun-Sobory_Tai"	1	"tableS9"
"583"	"Nyungwe"	"Tai"	"Nyungwe_Tai"	0	"0"
"584"	"Ngogo"	"Tai"	"Ngogo_Tai"	0	"0"
"585"	"Boe"	"Tai"	"Boe_Tai"	1	"tableS9"
"586"	"Comoe"	"Tai"	"Comoe_Tai"	1	"tableS9"
"587"	"Outamba-Kilimi"	"Tai"	"Outamba-Kilimi_Tai"	NA	"0"
"588"	"Kayan"	"Tai"	"Kayan_Tai"	1	"tableS9"
"589"	"Gishwati"	"Tai"	"Gishwati_Tai"	0	"0"
"590"	"Mt. Sangbe"	"Tai"	"Mt. Sangbe_Tai"	0	"0"
"591"	"Rubi-Tele"	"Tai"	"Rubi-Tele_Tai"	0	"0"
"592"	"Djouroutou"	"Tai"	"Djouroutou_Tai"	1	"tableS9"
"593"	"Sangaredi"	"Tai"	"Sangaredi_Tai"	1	"tableS9"
"594"	"Sapo"	"Tai"	"Sapo_Tai"	1	"tableS9"
"595"	"Sobeya"	"Tai"	"Sobeya_Tai"	1	"tableS9"
